id,topic,question,tags,answer
37,"sti, health",Where can I get tested for STIs?,"where, testing, location, sti","You can get tested for STIs at a testing clinic, a hospital, or at a doctor's appointment. "
38,"sti, health",Should I get tested for STIs?,"test, exam, screen, sti","If you have had sex, you should get tested to know your own status. That will help you take control of your health and communicate effectively with your partners. "
39,barrier method,What type of condom should I use?,"condom, use, type","Most condoms are made out of latex, which is an effective material for preventing pregnancy and STIs. If you are allergic to latex, you can use other materials like iso"
40,barrier method,What types of condoms are there?,"condom, type","Most male condoms are made of latex. Female condoms are typically made out of nitrile. Both of these are effective materials for preventing STIs and pregnancy. If you are allergic to latex, you can use non-latex condoms like polyurethane and polyisoprene male condoms."
41,"barrier method, sti",Do condoms prevent STIs?,"condom, sti, prevent","Yes! Condoms, both male and female condoms, are very effective at preventing STIs."
42,barrier method,What's the difference between a male and female condom?,"male, female, condom","A male condom is worn on the outside of the body by the inserting partner, and an internal condom is worn on the inside of a vagina or anus during sex. Female condoms are also made out of nitrile, which means they can be used for latex-allergies. Male condoms are typically latex. "
43,barrier method,Should I wear two condoms?,"two, multiple, more, condom","No! Wearing two condoms (two male condoms, one female on male, two female) is a bad call because it makes the condoms more liekly to break. Wearing two condoms does NOT mean more protection. It actually means less. "
44,"barrier method, relationship",Do I have to use a condom if my partner is on birth control?,"condom, partner, girlfriend, birth control","Birth control does not protect against STIs. So, if you and your partner are wanting protection from STIs, you should wear a condom during sex."
45,barrier method,"If I don't have a condom, can I use a plastic bag or wrap?","plastic, wrap, bag, condom",No! Find a condom. A plastic bag or wrap will not protect against STIs and pregnancy and can even irritate gentials. 
46,"barrier method, lube","If I don't have lube, what can I use instead?",lube,TBD
47,"barrier method, sex",Do I need to use a condom for anal sex?,"condom, anal, sex","Yes. While anal sex cannot cause pregnancy, you can transmit STIs by anal sex. Anal sex also poses a high risk for HIV. "
48,barrier method,"If I don't cum in a condom, can I reuse it?","condom, use, cum, again, reuse","No. You never want to reuse a condom or dental dam. A condom is only good for one use, even if you don't cum in it. Not only will reusing a condom make it more likely to break, but it's also possible it has precum. "
49,"barrier method, sex",What does wearing a condom feel like during sex?,"wear, condom, sex",TBD
50,"barrier method, sex",What do I do if I don't like how condoms feel?,"condom, feel","Try another one! Condoms come in all shapes and sizes, so find one that works for you. There are ribbed condoms, thin ones, smaller or larger ones. There's a condom out there for everyone, so it's a matter of trying different ones out until you find one that fits and works for you. "
51,barrerier method,Who should bring condoms in the relationship?,"bring, condom",Both/all partners should plan on bringing/carrying condoms. 
52,barrier method,How do I know if a condom is okay to use?,"condom, safe, okay, use","Check the package expiration date and quality. If it is expired, it is not good to use. If the packaging has any damages or tears, it is also not good to use. Throw these out and find a fresh condom with no package damages. "
53,"barrier method, sex",When should I put a condom on?,condom,"With a male condom, you want to put it on right before you do any sexual activity. "
54,barrier method,Do I have to be a certain age to get condoms?,"age, condom, buy",TBD
55,barrier method,Can I get condoms for free?,"condom, free","Yes! Use this link to find free condoms near you. Typically, clinics and health events will hand out free condoms. "
56,barrier method,Does condoms size matter?,"condom, size, important",Sometimes. Most condoms can stretch to any size. It's more of a problem if the condom feels like it slips off during sex. You can try out different condom sizes and types to find one that works and feels good on you. 
57,barrier method,What do I do if I don't fit in a condom?,"fit, condom, size","Try another one! Condoms come in all shapes and sizes, so find one that works for you. There are ribbed condoms, thin ones, smaller or larger ones. There's a condom out there for everyone, so it's a matter of trying different ones out until you find one that fits and works for you. "
58,barrier method,Do condoms expire? How can I tell?,"condom, expire","Yep, condoms can expire. Check the packaging to find the expiration date. If the condom is exprired, throw it out and find a new one. "
59,barrier method,Is an expired condom better than nothing?,"expire, condom, nothing, wear","Technically yes, but it is significant;y more likely to break, which can expose you to STIs and unplanned pregnancy. Instead, find a fresh condom or try soemthing liek mutual masturbation that doesn't require a condom. "
60,"barrier method, sex",Should I use a condom for oral sex?,"condom, oral, sex",You should use a condom for oral sex on a penis. You should use a dental dam for oral sex on a vagina or anus. Both of these are effective ways to be safe durign oral sex. 
61,"barrier method, sex",What do I do if a condom breaks?,"condom, break","If a condom breaks, you want to stop sex and put on a new one to lower the risk of unwatned pregnancy/STIs. If you do not know the HIV or STI status of you aprtner, see a doctor to talk about your options."
62,"barrier method, sex, consent",What do I do if my partner doesn't want to use a condom?,"partner, condom, use","If your partner doesn't want to use a condom, but you do..."
63,consent,How do I say no to sex if I am not ready?,"ready, sex",You should communicate this with your partner. Your partner should listen...
64,consent,What do I do if I want to have sex but my partner doesn't?,"sex, partner, consent, desire","You cannot and should not have sex without your partner's consent. Instead, find a sexual activity that you both would be into. Maybe that's mutual masturbation, or other forms of sex. Have an open conversation and find out what each of you is comfortable with. "
65,sex,Is oral sex really sex?,"oral, sex, real","Yes, oral sex is a form of sex. This means that you'll want to use protection (a condom or dental dam) to prevent the spread of STIs and protect your health and your partner's."
66,birth control,What types of birth control are there?,"birth control, type",Lots! There are birth control pills that you take everyday. Implants are a small device that goes into your arm and work as birth control for up to three years...
67,relationships,What do I do if I'm not happy with the way my partner treats me?,"partner, relationship, treat, happy",TBD
68,"sex, pregnancy, birth control",Can oral sex or anal sex lead to pregnancy?,"oral, anal, sex, pregnancy","No. Oral sex and anal sex cannot lead to rpegnancy. Only vaginal ssex can. All of these, though, can lead to STIs. "
69,sex,Am I a virgin if I use a tampon?,"virgin, tampon",TBD
70,"sex, pregnancy, birth control",Can I get pregnant the first time I have sex?,"pregnant, first time, sex","Yes, you can. Where you are on you menstruation cycle can affect how liekly you are to get pregnant, but the number of times you have had sex does not. Use birth control or condoms to protect against unwanted prenancy during your first time having sex... and after!"
71,"body, health",Is there a normal way a vagina or vulva should look?,"vagina, normal",Nope! Vulvas come in different shapes and sizes. Some people have inner labia that's longer than their outer labia. Some people have 
72,"health, body",Is my vagina normal?,"vagina, normal","Probably! Vulvas come in all shapes and sizes, so if you're worried about that, know that whatever you have is normal. If you are worried about abnormal discharge, itchiness, or irritation, talk with a doctor. "
73,barrier method,What is a dental damn?,dental damn,A dental dam is a rectangular piece of latex that you can place over a vagina or anus during oral sex. Do not use a dental dam on a penis for oral sex- use a condom instead!
74,barrier method,What kind of lube should I use with condoms?,"lube, condom","To be on the safe side, use a water-based lube, since they go with virtually all condom materials (latex, polyisoprene). Do NOT use oil-based lubes with latex condoms because it will break down the material and make the condom prone to break. "
75,barrier method,What is lube for?,lube,"Lubrication or lube is a liquid people use to help make sex (and masturbation) feel better and smoother. Lube makes sex feel better because it reduces friction between body parts during sex. A vagina cane produce it's own lubricaiton, but more lube never hurts (so long as you're using the right kind!) Because the anus does not lubricate itself naturally, lube is especially helpful during anal sex."
76,barrier method,What are condoms?,condom,"A male condom is a thin piece of rubber, typically latex, that acts as a barrier method between bodily fluids during vaginal, anal, or oral sex. It protects against STIs and HIV by creating a thin barrier between your body and your partners. "
77,barrier method,Where can I buy birth control?,"buy, purchase, birth control, pills",You can get birth control pills by getting a prescription from your doctor. 
78,barrier method,How do I put on a condom,"condom, wear, put on","It's easy and gets easier with practice! First, check the package for its expiratin date and if there are any tears or damage to the package. If it looks damaged or is expired, throw it out and get a new one. "
79,consent,"If I don't ask for consent, is it sexual assault?","consent, sexual assault","If you do not ask for consent, you do not know if what you are doing is wanted by the other person. If it is not wanted, it is sexual assault. If you do not ask for consent, you run the risk of assault. "
80,consent,What is consent?,consent,"Consent is an agreement two partners aboutt he kind of sex or sexual contact they want to have. Consent means a clear, enthusiastic, and sober “yes”. Only a ""yes"" means ""yes."" It can be withdrawn at any time, given for one kind of sex and not another, and must be given at every step of sexual activity. Remember, if you don't have someone's consent, you run the risk of sexually assaulting them. "
81,"consent, abuse",Is having sex with a drunk person sexual assault?,"sex, drunk, sexual assault, blackout, passed out","Consent is a clear and *sober* yes. A person who is drunk, passed out, or unconscious cannot give consent to sex. "
82,"consent, abuse",Can men get sexually assaulted?,"men, sexually assaulted","Yes. Men can get sexually assaulted. There's a misconception that because people with penises get boners, that means they must always want sex when they have a boner. But, there's a difference between being ""physically"" able to have sex and ""mentally"" ready and able to have sex. Someone who has a boner may not be ready to actually have sex or sexual contact. Plus someone who has a boner may be okay with one kind of sex, and not okay with another. "
83,"stis, health",What STIs are treatable?,"stis, curable, treatable","Virtually all STIs are treatable. Bacterial STIs (chlamydia, gonorrhea) are curable with antibiotics. Parasitic STIs (scabies, crabs, giardia) are curable with prescription lotions, creams, and/or medicaitons. Viral STIs are treatable (herpes, HIV), and some are even curable (some forms of Hepatitis). "
84,"stis, health",What STIs are curable?,"stis, curable, treatable","Typically, bacterial STIs (chlamydia, gonorrhea) are curable with antibiotics. Parasitic STIs (scabies, crabs, giardia) are curable with prescription lotions, creams, and/or medicaitons. Viral STIs are treatable (herpes, HIV), and some are even curable (some forms of Hepatitis). "
85,consent,How do I ask for consent?,"consent, sex, ask, get","You can and should ask for consent before and during sex. You can ask things like ""Can I do this...?"" or ""Is this okay...?"" or """
86,consent,Will asking for consent all the time ruin the mood?,"consent, ruin, mood","Definitely not! If you ask us, consent helps create the mood. "
87,consent,How do I know if consent has been given?,"consent, give, know","If the person gave a clear, enthusiastic ""yes"". ""I don't know,"" ""I'm not sure,"" ""Wait,"" are not examples of consent. Only a ""yes"" means ""yes."""
88,"consent, sex",Are you supposed to swallow cum during oral sex?,"swallow, cum, sperm, semen, oral, sex","You definitely do not have to swallow. If you don't want to, spit it out or ask your partner not to cum in your mouth. "
89,"birth control, period, health",What happens if you don't take birth control at the same time everyday or miss a day?,"birth control, period, cycle, menstruation","The most common effect is spotting, which means you may bleed a bit even when you're not on your period."
90,"barrier method, stis",Do I need to use a condom if I know my partner is STI-free and I'm on reliable birth control?,"If you and your partner have both been tested, ...",TBD
91,"period, health","What causes your period to be heavier, lighter, longer, or shorter?","period, change, normal, abnormal, different",TBD
92,"body, sex",Is it my fault if I don't have an orgasm?,"blame, fault, orgasm, cum","First off, you do not need to have an orgasm to have fun and pelasurable sex. It is not your fault if you don't have an orgasm. "
93,"stis, relationships",How do I talk with my partner about STIs?,"conversation, discussion",Ask your partner if they are oopen to have a conversation about STIs and testing. ...
94,"body, health",How can I prevent a UTI?,urinary tract infection,Pee after sex! Peeing after sex will clear your urethra and signficantly reduce your chances of getting an UTI. 
95,barrier method,What is a female condom?,,A female condom is a barrier method made out of nitrile that you wear in the anus or vagina. 
96,"health, body",How can I find a gynecologist?,,Use this tool to find a gyncologist near you!
97,health,What is a pap smear and when should I get one?,,"A pap smear is an exam to screen for cervical cancer. A doctor will ""swab"" your cervix for cells to make sure they look normal. You should get a pap smear every three years and get your first one either after you turn 21 or after you are sexually active. "
